,kdRatio
1926,1.875224416517056
3457,1.2324159021406729
2590,0.0
2690,2.8373015873015874
2030,1.5857538035961272
88,2.378787878787879
1480,1.6477832512315271
1524,1.3991769547325104
915,3.0674846625766867
1776,0.2
2820,1.4399185336048883
2541,4938.0
476,2.623233908948195
2155,1.4074074074074074
239,1.2470059880239521
3315,2.650684931506849
1118,1.3023255813953492
2148,3.1825396825396823
2077,1.302398331595412
162,0.0
2849,1.7196394686907022
941,1.3506493506493509
3199,1.1886792452830188
1757,2.960698689956332
734,3.38695652173913
2930,2.016304347826087
2772,0.0
1229,1.4507042253521127
2398,1.6464516129032258
637,1.8284518828451883
1770,1.0
1882,1.7580645161290325
2883,2.0
3226,2.4685792349726774
1584,2.0
298,1.784396244739398
1974,2.9547169811320755
2294,0.9540078843626808
1191,2.0
570,1.7337901950448076
1376,0.7533783783783784
652,1.451790633608815
3124,1.5605095541401277
515,3.03063178047224
712,5.039137380191693
2341,3.731707317073171
2937,0.8223684210526315
2971,2.0659025787965617
2367,12.10344827586207
1929,0.0
2992,0.5
1763,0.0
758,5.926553672316384
628,2.0724233983286906
2594,2.8026315789473686
1187,2.16962962962963
1293,1.5094736842105263
2658,1.1956521739130437
2821,1.29068673565381
80,7.290322580645161
2799,1.335907335907336
3169,2.1576227390180884
3072,1.2916666666666667
1854,2.5
1687,1.5209790209790208
2337,1.622093023255814
1500,0.0
3195,0.0
2284,1.4796898079763663
367,7.16326530612245
108,15.910891089108913
405,0.0
1469,1.4968944099378882
1340,0.8842592592592593
2611,5.753623188405798
1771,2.125
2012,2.382716049382716
348,2.657193605683837
2655,2.684647302904564
1090,2.3432529502308874
3321,1.0212765957446808
341,1.0902777777777777
2160,1.9825757575757577
1905,3.0041753653444685
854,2.9090909090909087
2954,1.881469115191987
1811,1.9209486166007903
3325,2.1163434903047094
745,1.222877358490566
807,1.7852487135506003
3310,2.3215859030837005
2509,1.6621052631578948
2771,0.0
1786,1.8171428571428567
2562,0.0
434,0.0
115,9.451923076923077
744,5.5151515151515165
3051,1.75
1084,2.015625
2298,1.3747099767981439
402,12.0
1848,1.9187418086500656
950,1.0985915492957747
592,2.3163841807909606
1295,1.4512893982808024
1289,1.4691848906560636
29,3.671232876712329
1398,2.89179104477612
1915,2.6175298804780875
1738,5.0
3623,1.9615384615384608
1025,0.6666666666666666
2783,1.553125
3404,1.5994908782350443
393,0.0
3179,1.6093023255813954
3620,1.9318697956093869
990,0.5632911392405063
379,0.0
3100,0.6806083650190115
842,1.3625
2405,1.850328947368421
3008,2.5701754385964914
1288,1.6842105263157894
3489,0.0
2046,1.6627358490566038
1107,1.9082969432314407
1740,5.607692307692307
2487,1.4047619047619049
2288,1.2323340471092077
57,34.9375
582,1.8072787427626136
3143,2.6531986531986536
392,0.0
428,2.6
