,hits,kills,kdRatio,headshots,accuracy,shots,deaths,weapon,weapontype,user,gametype,ranking
182,2648.0,1167.0,6.342391304347826,178.0,0.2372547262790073,11161.0,184.0,iw8_ar_tango21,weapon_assault_rifle,easyB%2321571,battle,3
183,21767.0,5337.0,3.2782555282555284,954.0,0.22467537829524573,96882.0,1628.0,iw8_ar_mike4,weapon_assault_rifle,easyB%2321571,battle,3
184,128.0,32.0,5.333333333333333,8.0,0.2942528735632184,435.0,6.0,iw8_ar_anovember94,weapon_assault_rifle,easyB%2321571,battle,3
185,2081.0,1317.0,7.886227544910179,338.0,0.2424277726001864,8584.0,167.0,iw8_ar_falpha,weapon_assault_rifle,easyB%2321571,battle,3
186,18324.0,6005.0,4.222925457102672,1550.0,0.217932707746102,84081.0,1422.0,iw8_ar_mcharlie,weapon_assault_rifle,easyB%2321571,battle,3
187,3665.0,1589.0,4.715133531157269,240.0,0.2214635325397305,16549.0,337.0,iw8_ar_akilo47,weapon_assault_rifle,easyB%2321571,battle,3
188,3545.0,1382.0,8.6375,322.0,0.2327031639753184,15234.0,160.0,iw8_ar_kilo433,weapon_assault_rifle,easyB%2321571,battle,3
189,3039.0,1727.0,6.799212598425197,543.0,0.2462922441040603,12339.0,254.0,iw8_ar_scharlie,weapon_assault_rifle,easyB%2321571,battle,3
190,1928.0,1231.0,9.847999999999999,210.0,0.29961149961149963,6435.0,125.0,iw8_ar_asierra12,weapon_assault_rifle,easyB%2321571,battle,3
191,3905.0,1168.0,3.779935275080906,123.0,0.24804675093692435,15743.0,309.0,iw8_ar_galima,weapon_assault_rifle,easyB%2321571,battle,3
192,37464.0,10276.0,3.8129870129870134,2024.0,0.2430123568903448,154165.0,2695.0,iw8_ar_sierra552,weapon_assault_rifle,easyB%2321571,battle,3
193,0.0,346.0,0.6279491833030852,0.0,0.0,0.0,551.0,iw8_me_riotshield,weapon_other,easyB%2321571,battle,3
194,69.0,39.0,4.875,6.0,0.5307692307692308,130.0,8.0,iw8_sh_mike26,weapon_shotgun,easyB%2321571,battle,3
195,871.0,846.0,2.028776978417266,143.0,0.5829986613119144,1494.0,417.0,iw8_sh_charlie725,weapon_shotgun,easyB%2321571,battle,3
196,975.0,708.0,5.130434782608695,137.0,0.5293159609120521,1842.0,138.0,iw8_sh_oscar12,weapon_shotgun,easyB%2321571,battle,3
197,963.0,852.0,2.2421052631578946,194.0,0.5728732897085068,1681.0,380.0,iw8_sh_romeo870,weapon_shotgun,easyB%2321571,battle,3
198,997.0,761.0,3.443438914027149,172.0,0.6448900388098319,1546.0,221.0,iw8_sh_dpapa12,weapon_shotgun,easyB%2321571,battle,3
199,19259.0,5282.0,3.989425981873112,2039.0,0.2369172099889285,81290.0,1324.0,iw8_sm_mpapa7,weapon_smg,easyB%2321571,battle,3
200,2879.0,1199.0,4.221830985915493,177.0,0.22703256840943145,12681.0,284.0,iw8_sm_augolf,weapon_smg,easyB%2321571,battle,3
201,4785.0,1724.0,2.509461426491994,386.0,0.20083945435466946,23825.0,687.0,iw8_sm_papa90,weapon_smg,easyB%2321571,battle,3
202,61.0,14.0,7.0,1.0,0.2837209302325581,215.0,2.0,iw8_sm_charlie9,weapon_smg,easyB%2321571,battle,3
203,27824.0,7694.0,2.9033962264150945,1148.0,0.24660545254724006,112828.0,2650.0,iw8_sm_mpapa5,weapon_smg,easyB%2321571,battle,3
204,3200.0,1398.0,2.9618644067796613,214.0,0.2078596947060734,15395.0,472.0,iw8_sm_smgolf45,weapon_smg,easyB%2321571,battle,3
205,13846.0,4099.0,3.133792048929664,673.0,0.243664648739969,56824.0,1308.0,iw8_sm_beta,weapon_smg,easyB%2321571,battle,3
206,1234.0,299.0,3.7375,91.0,0.2200820403067594,5607.0,80.0,iw8_sm_victor,weapon_smg,easyB%2321571,battle,3
207,1726.0,784.0,4.260869565217392,238.0,0.22351722351722356,7722.0,184.0,iw8_sm_uzulu,weapon_smg,easyB%2321571,battle,3
208,737.0,682.0,3.42713567839196,317.0,0.510387811634349,1444.0,199.0,iw8_sn_sbeta,weapon_marksman,easyB%2321571,battle,3
209,171.0,108.0,1.862068965517241,19.0,0.5570032573289903,307.0,58.0,iw8_sn_crossbow,weapon_marksman,easyB%2321571,battle,3
210,1849.0,1708.0,2.3689320388349517,615.0,0.5138966092273485,3598.0,721.0,iw8_sn_kilo98,weapon_marksman,easyB%2321571,battle,3
211,698.0,615.0,5.590909090909091,311.0,0.3728632478632479,1872.0,110.0,iw8_sn_mike14,weapon_marksman,easyB%2321571,battle,3
212,763.0,500.0,4.62962962962963,114.0,0.3560429304713019,2143.0,108.0,iw8_sn_sksierra,weapon_marksman,easyB%2321571,battle,3
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblunt,weapon_melee,easyB%2321571,battle,3
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblades,weapon_melee,easyB%2321571,battle,3
215,0.0,842.0,1.1347708894878703,0.0,0.0,0.0,742.0,iw8_knife,weapon_melee,easyB%2321571,battle,3
216,3108.0,3359.0,3.947121034077556,838.0,0.436088115616669,7127.0,851.0,iw8_sn_alpha50,weapon_sniper,Tequim%231698,battle,4
217,203.0,225.0,3.2142857142857144,62.0,0.4655963302752293,436.0,70.0,iw8_sn_hdromeo,weapon_sniper,Tequim%231698,battle,4
218,57.0,59.0,4.916666666666667,27.0,0.475,120.0,12.0,iw8_sn_delta,weapon_sniper,Tequim%231698,battle,4
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_sn_xmike109,weapon_sniper,Tequim%231698,battle,4
236,1434.0,663.0,1.8728813559322035,143.0,0.11991971901655794,11958.0,354.0,iw8_lm_kilo121,weapon_lmg,Tequim%231698,battle,4
237,627.0,294.0,3.1956521739130435,46.0,0.17736916548797738,3535.0,92.0,iw8_lm_mkilo3,weapon_lmg,Tequim%231698,battle,4
